Product Name,Brand,Brand Tier,Price,Profit Margin,Days Inventory,Units Stock,Views,Volume Sold,Composite Score,Sales Velocity Score,Profit Margin Score,Inventory Health Score,Brand Tier Score,Engagement Score
Radiant Centella Serum,Hera,C,57.9,49.08462867012089,37,327,4069,305,84.92128263193929,84.97419513393955,98.16925734024178,100.0,50,81.38
Pure Snail Mucin Emulsion,Etude House,A,68.27,32.1078072359748,50,77,1731,243,84.5159036179874,100.0,64.2156144719496,100.0,100,34.62
Youth Mugwort Toner,Tony Moly,C,31.32,44.44444444444445,30,330,4207,331,83.65868478461823,87.20703589256001,88.8888888888889,100.0,50,84.14
Bright Centella Ampoule,Tony Moly,C,37.21,48.96533190002688,42,412,775,321,83.53266595001344,100.0,97.93066380005376,100.0,50,15.5
Pure Collagen Cleanser,COSRX,B,36.22,59.05577029265599,33,307,3059,185,83.01822883295193,73.2863680941484,100.0,100.0,75,61.18
Pure Propolis Cleanser,Neogen,A,35.09,31.889427187232837,52,211,828,307,82.60071359361643,100.0,63.77885437446567,100.0,100,16.56
Soothing Ginseng Serum,Missha,B,77.59,31.71800489753835,36,66,4480,346,81.28775244876917,86.33928571428572,63.4360097950767,100.0,75,89.60000000000001
Radiant Niacinamide Essence,Etude House,B,15.18,48.418972332015805,18,208,695,321,80.8494861660079,100.0,96.83794466403161,60.0,75,13.900000000000002
Youth Snail Mucin Toner,COSRX,C,72.64,45.319383259911895,46,365,925,177,80.39969162995594,95.4,90.63876651982379,100.0,50,18.5
Bright Collagen Mist,IOPE,B,20.92,52.53346080305927,34,172,1857,137,80.04673021001615,71.66494345718901,100.0,100.0,75,37.14
Soothing Hyaluronic Acid Cleanser,Mamonde,B,16.84,38.895486935866984,39,443,3473,221,80.00683013651972,78.1802476245321,77.79097387173397,100.0,75,69.46
Glow Hyaluronic Acid Ampoule,Skinfood,B,63.25,32.9802371541502,29,481,4591,309,79.55629413795508,80.38335874537137,65.9604743083004,96.66666666666667,75,91.82000000000001
Silky Propolis Cream,Innisfree,A,31.3,35.87859424920128,23,189,4711,257,79.31746354361995,72.7319040543409,71.75718849840256,76.66666666666667,100,94.22
Calm Centella Cream,Laneige,B,66.59,50.30785403213696,36,374,2544,149,79.0675283018868,64.94150943396227,100.0,100.0,75,50.88
Hydra Hyaluronic Acid Lotion,Neogen,B,59.93,33.08860337059903,54,304,3240,237,78.63541279641062,83.88888888888889,66.17720674119806,100.0,75,64.8
Glow Snail Mucin Essence,Benton,C,76.42,49.8691442030882,17,369,1166,325,78.26657210154409,100.0,99.7382884061764,56.666666666666664,50,23.32
Silky Centella Ampoule,Benton,B,61.03,54.776339505161395,26,404,3014,164,78.18467551426676,65.44764432647645,100.0,86.66666666666667,75,60.28
Radiant Centella Emulsion,Neogen,B,13.25,44.679245283018865,39,281,4100,169,77.27572020248505,58.53170731707317,89.35849056603773,100.0,75,82.0
Pure Propolis Ampoule,Sulwhasoo,B,21.94,53.327256153144944,60,499,3598,140,76.41720622568093,51.34630350194553,100.0,100.0,75,71.96000000000001
Glow Ginseng Serum,Tony Moly,B,64.96,47.182881773399004,57,127,2031,126,75.75150587931398,62.42304283604137,94.36576354679801,100.0,75,40.62
Calm Mugwort Ampoule,The Face Shop,C,46.59,38.227087357802105,23,113,1267,377,75.64754367890106,100.0,76.45417471560421,76.66666666666667,50,25.34
Hydra Snail Mucin Lotion,The Face Shop,A,63.97,49.835860559637325,17,88,3736,147,74.44277824555742,53.00813704496788,99.67172111927465,56.666666666666664,100,74.72
Pure Vitamin C Serum,Skinfood,B,51.85,30.43394406943105,33,248,1616,145,73.69179381689374,82.83663366336633,60.8678881388621,100.0,75,32.32
Glow Centella Lotion,Dr. Jart+,C,11.78,33.3616298811545,24,465,1162,378,73.50481494057725,100.0,66.723259762309,80.0,50,23.24
Calm Hyaluronic Acid Ampoule,Tony Moly,C,14.07,47.69012082444918,27,205,4552,167,73.34336621187309,55.41230228471001,95.38024164889836,90.0,50,91.03999999999999
Bright Vitamin C Mask,Dr. Jart+,A,64.06,39.66593818295349,56,137,4232,121,72.77122239960528,41.35500945179584,79.33187636590698,100.0,100,84.64
Silky Collagen Ampoule,Sulwhasoo,B,32.77,38.14464449191334,41,146,2908,152,72.75493847704332,61.761760660247596,76.28928898382668,100.0,75,58.160000000000004
Glow Collagen Cleanser,Missha,C,23.91,59.514847344207446,32,67,3951,138,72.39685193621868,48.55671981776766,100.0,100.0,50,79.02
Calm Centella Serum,Missha,A,72.1,44.10540915395284,16,454,2882,151,72.38948042708051,61.636502428868845,88.21081830790568,53.333333333333336,100,57.64
Pure Hyaluronic Acid Mask,IOPE,C,14.45,33.70242214532871,59,266,4271,207,72.0711553480097,69.079840786701,67.40484429065742,100.0,50,85.42
Calm Niacinamide Mask,Mamonde,C,63.99,39.27176121268949,42,291,4052,177,71.80312838521937,61.60927936821322,78.54352242537898,100.0,50,81.04
Radiant Hyaluronic Acid Cream,Missha,A,46.4,44.91379310344828,58,139,3169,95,71.74025786444108,36.9867466077627,89.82758620689656,100.0,100,63.38
Youth Hyaluronic Acid Essence,Neogen,A,75.76,55.649419218585,15,458,3367,130,71.4421081081081,49.166023166023166,100.0,50.0,100,67.34
Fresh Green Tea Mist,Hera,B,19.76,33.09716599190284,16,120,995,172,70.82858299595141,94.4,66.19433198380568,53.333333333333336,75,19.900000000000002
Hydra Green Tea Cleanser,Sulwhasoo,C,61.07,35.483870967741936,22,173,1919,168,70.22451078350619,86.12735799895779,70.96774193548387,73.33333333333333,50,38.379999999999995
Hydra Collagen Serum,Skinfood,B,20.92,32.79158699808796,47,70,1735,126,70.18651396013908,68.77348703170028,65.58317399617592,100.0,75,34.699999999999996
Hydra Niacinamide Toner,Sulwhasoo,B,70.42,49.77279182050554,48,88,4592,84,70.04185932488691,27.77560975609756,99.54558364101108,100.0,75,91.84
Hydra Niacinamide Cleanser,Skinfood,B,59.48,40.652320107599195,11,392,2426,177,69.63967695404692,79.1757625721352,81.30464021519839,36.666666666666664,75,48.52
Silky Mugwort Mask,COSRX,A,64.26,52.81668222844694,55,77,4074,43,68.37449484536083,14.932842415316642,100.0,100.0,100,81.47999999999999
Pure Collagen Toner,Neogen,A,24.86,35.76025744167337,42,361,2916,80,65.07344559326467,32.46090534979424,71.52051488334673,100.0,100,58.32000000000001
Pure Snail Mucin Mask,Missha,B,67.08,53.205128205128204,36,256,3866,48,64.94934609415417,17.0495602690119,100.0,100.0,75,77.32
Hydra Niacinamide Mask,Laneige,B,22.84,33.844133099824866,42,199,1448,78,62.84022124604503,47.92044198895027,67.68826619964973,100.0,75,28.96
Calm Centella Serum,Benton,C,52.83,35.77512776831346,17,463,4692,145,59.9113337051286,47.54219948849105,71.55025553662692,56.666666666666664,50,93.84
Hydra Vitamin C Mist,Mamonde,C,51.47,59.78239751311444,31,215,1668,33,57.30067625899281,18.470503597122303,100.0,100.0,50,33.36
Glow Mugwort Cream,The Face Shop,B,44.57,49.51761274399821,25,66,3322,5,55.8188810258221,1.9030704394942806,99.03522548799641,83.33333333333334,75,66.44
Fresh Snail Mucin Essence,Missha,B,34.97,43.92336288247069,34,77,3067,5,55.03803553318187,1.9781545484186502,87.84672576494138,100.0,75,61.339999999999996
Fresh Green Tea Essence,Mamonde,B,77.87,32.74688583536665,39,111,716,23,52.411252973549246,23.873743016759775,65.4937716707333,100.0,75,14.32
Soothing Ginseng Emulsion,Missha,C,40.24,33.22564612326044,57,290,2939,11,46.54680468803376,4.4456617897243955,66.45129224652088,100.0,50,58.78
